FeatureID,Kingdom,Phylum,Class,Order,Family,Genus,Species
9672c4f1879d15e73c27b3f3a89a69e5,Unassigned,NA,NA,NA,NA,NA,NA
a9fe921671f981a759e8902df38a2c26,Unassigned,NA,NA,NA,NA,NA,NA
d30cea50204c665458822300da71769e,Unassigned,NA,NA,NA,NA,NA,NA
f316be97b07412e54f68e63b74d65402,Chromista,Myzozoa,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium, C50-AB704050.1
5c5ddb96dde7793a6d895410760d0a51,Unassigned,NA,NA,NA,NA,NA,NA
367ce5c33fa25c36873bd8caca201fdc,Chromista,Myzozoa,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium, C50-AB704050.1
1b84c0e336b8a0d96d0210af1f7b8d61,Unassigned,NA,NA,NA,NA,NA,NA
c92c67941e1b0d35ca334d3ba9d1defd,Unassigned,NA,NA,NA,NA,NA,NA
690e00bd92de69f30932980afd27c6ba,Unassigned,NA,NA,NA,NA,NA,NA
3a0fa6dcbc0d01b3fffce80a9386dcd4,Unassigned,NA,NA,NA,NA,NA,NA
9a0d9d9b1dfb73b1515c09007a74bcd4,Unassigned,NA,NA,NA,NA,NA,NA
2b75a80ce5f6194694b7e2610a623847,Chromista,Myzozoa,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium, C1-DQ480600.1
4d0116bd2ae4547f8b14b94a824e2d2e,Chromista,Myzozoa,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium, Cspc_C3-DQ335313.1
75dac86e46aa2ee61fd34866569a6799,Unassigned,NA,NA,NA,NA,NA,NA
f82e445b0880bb3dd7b89228260e5086,Chromista,Myzozoa,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium, C3.14-HQ630872.1
901b9497e23f4b834cddaf9393aac8c9,Unassigned,NA,NA,NA,NA,NA,NA
5e89347a7929857d9cce80376e32c3ca,Unassigned,NA,NA,NA,NA,NA,NA
9c205e7d325720e48e89854e820463f4,Unassigned,NA,NA,NA,NA,NA,NA
6159a834110653ea9eaf2901e2be1f2d,Unassigned,NA,NA,NA,NA,NA,NA
722c40d7f1da9e8197f15c938e68b86e,Unassigned,NA,NA,NA,NA,NA,NA
bd9620526c0e8009b0dcc63b6831f75f,Unassigned,NA,NA,NA,NA,NA,NA
